run_group,subset,instances,table,first_method,second_method,paired_window_sizes,first_mean_rmse,first_median_rmse,second_mean_rmse,change_of_mean_rmse_pct,wins,ties,losses,wilcoxon_p,holm_p,cliff_delta
9,5%,595,baseline_rmse,Consist-Strat,,7,0.037512,0.036252,,,,,,,,
9,5%,595,baseline_rmse,Repo-Strat,,8,0.068829,0.069197,,,,,,,,
9,5%,595,baseline_rmse,Repo×Diff,,8,0.072099,0.072812,,,,,,,,
9,5%,595,baseline_rmse,Repo×Consist,,7,0.129754,0.137831,,,,,,,,
9,5%,595,consist_strat_vs_baseline,Consist-Strat,Random,7,0.037512,,0.073935,-49.26,7,0,0,0.0156,0.0781,1.000
9,5%,595,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,7,0.037512,,0.040971,-8.44,7,0,0,0.0156,0.0781,1.000
9,5%,595,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,7,0.037512,,0.068491,-45.23,7,0,0,0.0156,0.0781,1.000
9,5%,595,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,7,0.037512,,0.070987,-47.16,7,0,0,0.0156,0.0781,1.000
9,5%,595,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,7,0.037512,,0.129754,-71.09,7,0,0,0.0156,0.0781,1.000
9,5%,595,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,7,0.038486,,0.037512,2.60,5,0,2,0.4688,1.0000,0.429
9,5%,595,centroid_pooled_vs_random,Centroid Pooled,Random,8,0.038172,,0.074345,-48.66,7,0,1,0.0156,0.0781,0.750
9,10%,595,baseline_rmse,Random,,8,0.051186,0.050981,,,,,,,,
9,10%,595,baseline_rmse,Diff-Strat,,8,0.028741,0.028128,,,,,,,,
9,10%,595,baseline_rmse,Consist-Strat,,7,0.025933,0.025379,,,,,,,,
